FSA,BEV,PHEV,TotalEV
P0A,45,21,66
P0B,49,17,66
P0C,29,11,40
P0E,12,9,21
P0G,6,5,11
P0H,54,50,104
P0J,26,18,44
P0K,5,5,10
P0L,12,20,32
P0M,71,71,142
P0N,2,5,7
P0P,21,22,43
P0R,10,6,16
P0S,13,4,17
P0T,24,32,56
P0V,6,7,13
P0W,3,1,4
P0X,11,8,19
P1A,17,15,32
P1B,52,47,99
P1C,19,9,28
P1H,66,32,98
P1L,63,34,97
P1P,30,17,47
P2A,47,13,60
P2B,13,12,25
P2N,1,2,3
P3A,43,34,77
P3B,28,23,51
P3C,12,17,29
P3E,112,74,186
P3G,33,22,55
P3L,8,9,17
P3N,11,15,26
P3P,43,42,85
P3S,1,,1
P3Y,16,11,27
P4N,13,19,32
P4P,2,2,4
P4R,8,8,16
P5A,2,4,6
P5E,2,4,6
P5N,9,11,20
P6A,40,28,68
P6B,31,14,45
P6C,10,8,18
P7A,28,37,65
P7B,36,33,69
P7C,20,17,37
P7E,11,21,32
P7G,29,27,56
P7J,11,9,20
P7K,7,8,15
P7L,3,2,5
P8N,6,10,16
P8T,3,5,8
P9A,4,6,10
P9N,18,9,27
